Head Wind (m/s)		Drag Force (N)
1			0.0056771236
2			0.019862027
3			0.044653886
4			0.072943843
5			0.12036393
6			0.16252314
7			0.23077475
8			0.29405199
9			0.4075508
10			0.46522198
11			0.52931894
12			0.63026438
13			0.80872616
14			0.9422376
15			1.0776145
16			1.2767977
17			1.2853626
18			1.3097346
19			1.5518665
20			2.0525466
21			
22			
23			
24			
25			
26			
27			
28			
29			
30			
31			
32			
33			
34			
35			
36			
37			
38			
39			
40			
41			
42			
43			
44			
45			
46			
47			
48			
49			
50			
